PREMIUM_ID,CONTRACT_ID,MNT_COTISATION,DT_ENCAISSEMENT,ECHEANCE_DATE
PRM0000060,CTR00007,2804.51,2025-07-01,2025-04-01
PRM0000061,CTR00007,2804.51,2025-10-19,2025-07-01
PRM0000062,CTR00008,12010.97,2022-04-13,2022-01-01
PRM0000063,CTR00008,12010.97,2022-07-12,2022-04-01
PRM0000064,CTR00008,12010.97,2022-10-21,2022-07-01
PRM0000065,CTR00008,12010.97,2023-01-04,2022-10-01
PRM0000066,CTR00008,12164.85,2023-04-06,2023-01-01
PRM0000067,CTR00008,12164.85,2023-07-16,2023-04-01
PRM0000068,CTR00008,12164.85,2023-10-13,2023-07-01
PRM0000069,CTR00008,12164.85,2024-01-14,2023-10-01
PRM0000070,CTR00008,13198.01,2024-07-12,2024-04-01
PRM0000071,CTR00008,13198.01,2024-10-17,2024-07-01
PRM0000072,CTR00008,13198.01,2025-01-13,2024-10-01
PRM0000073,CTR00008,13700.43,2025-04-02,2025-01-01
PRM0000074,CTR00008,13700.43,2025-07-08,2025-04-01
PRM0000075,CTR00008,13700.43,2025-10-06,2025-07-01
PRM0000076,CTR00009,1659.79,2024-01-16,2023-10-01
PRM0000077,CTR00009,1872.56,2024-04-12,2024-01-01
PRM0000078,CTR00009,1872.56,2024-07-06,2024-04-01
PRM0000079,CTR00010,14473.73,2022-04-05,2022-01-01
PRM0000080,CTR00010,14473.73,2022-07-04,2022-04-01
PRM0000081,CTR00010,14473.73,2022-10-21,2022-07-01
PRM0000082,CTR00010,14473.73,2023-01-20,2022-10-01
PRM0000083,CTR00010,14557.5,2023-04-06,2023-01-01
PRM0000084,CTR00010,14557.5,2023-07-17,2023-04-01
PRM0000085,CTR00010,14557.5,2023-10-20,2023-07-01
PRM0000086,CTR00010,14557.5,2024-01-03,2023-10-01
PRM0000087,CTR00010,15829.4,2024-04-06,2024-01-01
PRM0000088,CTR00010,15829.4,2024-07-11,2024-04-01
PRM0000089,CTR00010,15829.4,2024-10-04,2024-07-01
PRM0000090,CTR00010,15829.4,2025-01-21,2024-10-01
PRM0000091,CTR00010,18203.43,2025-04-05,2025-01-01
PRM0000092,CTR00011,15599.17,2022-04-08,2022-01-01
PRM0000093,CTR00011,15599.17,2022-07-18,2022-04-01
PRM0000094,CTR00011,31198.34,2022-10-13,2022-07-01
PRM0000095,CTR00011,15941.28,2023-04-07,2023-01-01
PRM0000096,CTR00011,15941.28,2023-07-01,2023-04-01
PRM0000097,CTR00011,15941.28,2023-10-12,2023-07-01
PRM0000098,CTR00011,15941.28,2024-01-18,2023-10-01
PRM0000099,CTR00011,16211.45,2024-04-10,2024-01-01
PRM0000100,CTR00011,16211.45,2024-07-15,2024-04-01
PRM0000101,CTR00011,16211.45,2024-10-08,2024-07-01
PRM0000102,CTR00011,16211.45,2025-01-13,2024-10-01
PRM0000103,CTR00011,34924.38,2025-04-09,2025-01-01
PRM0000104,CTR00011,17462.19,2025-10-02,2025-07-01
PRM0000105,CTR00012,1484.17,2022-04-18,2022-01-01
PRM0000106,CTR00012,2968.34,2022-07-20,2022-04-01
PRM0000107,CTR00012,3222.82,2023-04-11,2023-01-01
PRM0000108,CTR00012,1611.41,2023-10-02,2023-07-01
PRM0000109,CTR00012,1611.41,2024-01-21,2023-10-01
PRM0000110,CTR00012,1637.86,2024-04-15,2024-01-01
PRM0000111,CTR00012,1637.86,2024-07-04,2024-04-01
PRM0000112,CTR00012,1637.86,2024-10-19,2024-07-01
PRM0000113,CTR00012,1637.86,2025-01-02,2024-10-01
PRM0000114,CTR00012,1882.97,2025-07-15,2025-04-01
PRM0000115,CTR00012,1882.97,2025-10-12,2025-07-01
PRM0000116,CTR00013,7410.88,2024-01-07,2023-10-01
PRM0000117,CTR00013,8279.67,2024-04-15,2024-01-01
PRM0000118,CTR00013,8279.67,2024-07-13,2024-04-01
PRM0000119,CTR00013,8279.67,2024-10-20,2024-07-01
PRM0000120,CTR00013,8279.67,2025-01-13,2024-10-01
PRM0000121,CTR00013,8777.31,2025-04-18,2025-01-01
PRM0000122,CTR00013,17554.62,2025-07-08,2025-04-01
PRM0000123,CTR00014,14504.08,2022-04-18,2022-01-01
PRM0000124,CTR00014,14504.08,2022-07-10,2022-04-01
PRM0000125,CTR00014,14504.08,2022-10-18,2022-07-01
PRM0000126,CTR00014,14504.08,2023-01-08,2022-10-01
PRM0000127,CTR00014,14638.54,2023-04-18,2023-01-01
PRM0000128,CTR00014,14638.54,2023-07-09,2023-04-01
PRM0000129,CTR00014,14638.54,2023-10-20,2023-07-01
PRM0000130,CTR00014,16548.64,2024-04-06,2024-01-01
PRM0000131,CTR00014,16548.64,2024-07-07,2024-04-01
PRM0000132,CTR00014,16548.64,2024-10-04,2024-07-01
PRM0000133,CTR00014,16548.64,2025-01-11,2024-10-01
PRM0000134,CTR00015,9690.62,2022-04-20,2022-01-01
PRM0000135,CTR00015,9690.62,2022-07-11,2022-04-01
PRM0000136,CTR00015,9690.62,2022-10-10,2022-07-01
PRM0000137,CTR00015,9690.62,2023-01-04,2022-10-01
PRM0000138,CTR00015,10239.3,2023-07-02,2023-04-01
PRM0000139,CTR00015,10239.3,2023-10-16,2023-07-01
PRM0000140,CTR00015,10239.3,2024-01-09,2023-10-01
PRM0000141,CTR00015,11000.92,2024-04-20,2024-01-01
PRM0000142,CTR00015,22001.84,2024-07-01,2024-04-01
PRM0000143,CTR00015,11000.92,2025-01-05,2024-10-01
PRM0000144,CTR00015,12356.77,2025-04-07,2025-01-01
PRM0000145,CTR00015,12356.77,2025-07-16,2025-04-01
PRM0000146,CTR00015,12356.77,2025-10-02,2025-07-01
PRM0000147,CTR00016,8413.02,2022-04-07,2022-01-01
PRM0000148,CTR00016,16826.04,2022-07-19,2022-04-01
PRM0000149,CTR00016,8413.02,2023-01-21,2022-10-01
PRM0000150,CTR00016,9133.98,2023-04-19,2023-01-01
PRM0000151,CTR00016,9133.98,2023-07-21,2023-04-01
PRM0000152,CTR00016,9133.98,2023-10-05,2023-07-01
PRM0000153,CTR00016,9133.98,2024-01-06,2023-10-01
PRM0000154,CTR00016,9874.1,2024-04-08,2024-01-01
PRM0000155,CTR00016,9874.1,2024-07-01,2024-04-01
PRM0000156,CTR00016,9874.1,2024-10-10,2024-07-01
PRM0000157,CTR00016,9907.27,2025-04-03,2025-01-01
PRM0000158,CTR00016,9907.27,2025-07-13,2025-04-01
PRM0000159,CTR00016,9907.27,2025-10-08,2025-07-01
PRM0000160,CTR00017,32434.82,2022-04-11,2022-01-01
PRM0000161,CTR00018,8788.17,2022-04-08,2022-01-01
PRM0000162,CTR00018,8788.17,2022-07-11,2022-04-01
PRM0000163,CTR00018,8788.17,2022-10-15,2022-07-01
PRM0000164,CTR00018,8788.17,2023-01-06,2022-10-01
PRM0000165,CTR00018,19615.0,2023-04-05,2023-01-01
PRM0000166,CTR00018,9807.5,2023-10-10,2023-07-01
PRM0000167,CTR00018,9807.5,2024-01-08,2023-10-01
PRM0000168,CTR00018,10030.56,2024-04-11,2024-01-01
PRM0000169,CTR00018,10030.56,2024-07-18,2024-04-01
PRM0000170,CTR00018,10030.56,2024-10-05,2024-07-01
PRM0000171,CTR00018,10030.56,2025-01-13,2024-10-01
PRM0000172,CTR00018,11021.81,2025-04-06,2025-01-01
PRM0000173,CTR00018,11021.81,2025-07-20,2025-04-01
PRM0000174,CTR00018,11021.81,2025-10-05,2025-07-01
PRM0000175,CTR00019,14529.57,2022-07-06,2022-04-01
PRM0000176,CTR00019,14529.57,2022-10-11,2022-07-01
PRM0000177,CTR00019,29059.14,2023-01-18,2022-10-01
PRM0000178,CTR00020,8397.5,2022-04-15,2022-01-01
PRM0000179,CTR00020,8397.5,2022-07-05,2022-04-01
PRM0000180,CTR00020,8397.5,2022-10-09,2022-07-01
PRM0000181,CTR00020,8397.5,2023-01-02,2022-10-01
PRM0000182,CTR00021,7762.91,2022-04-05,2022-01-01
PRM0000183,CTR00021,7762.91,2022-07-20,2022-04-01
PRM0000184,CTR00021,7762.91,2022-10-14,2022-07-01
PRM0000185,CTR00021,15525.82,2023-01-16,2022-10-01
PRM0000186,CTR00021,8193.55,2023-07-20,2023-04-01
PRM0000187,CTR00021,8193.55,2023-10-08,2023-07-01
PRM0000188,CTR00021,8193.55,2024-01-21,2023-10-01
PRM0000189,CTR00021,8266.48,2024-04-20,2024-01-01
PRM0000190,CTR00021,8266.48,2024-07-16,2024-04-01
PRM0000191,CTR00021,8266.48,2024-10-05,2024-07-01
PRM0000192,CTR00021,8266.48,2025-01-19,2024-10-01
PRM0000193,CTR00021,9339.65,2025-04-01,2025-01-01
PRM0000194,CTR00021,9339.65,2025-07-09,2025-04-01
PRM0000195,CTR00021,9339.65,2025-10-08,2025-07-01
PRM0000196,CTR00022,7542.39,2023-07-16,2023-04-01
PRM0000197,CTR00022,15084.78,2023-10-21,2023-07-01
PRM0000198,CTR00022,8324.89,2024-04-15,2024-01-01
PRM0000199,CTR00022,8324.89,2024-07-08,2024-04-01
PRM0000200,CTR00022,8324.89,2024-10-05,2024-07-01
PRM0000201,CTR00022,8324.89,2025-01-15,2024-10-01
PRM0000202,CTR00022,9531.23,2025-04-08,2025-01-01
PRM0000203,CTR00022,9531.23,2025-07-18,2025-04-01
PRM0000204,CTR00023,22176.62,2022-04-02,2022-01-01
PRM0000205,CTR00023,11088.31,2022-10-11,2022-07-01
PRM0000206,CTR00023,11088.31,2023-01-08,2022-10-01
PRM0000207,CTR00023,11930.21,2023-04-05,2023-01-01
PRM0000208,CTR00023,11930.21,2023-07-15,2023-04-01
PRM0000209,CTR00023,11930.21,2023-10-06,2023-07-01
PRM0000210,CTR00023,11930.21,2024-01-04,2023-10-01
PRM0000211,CTR00023,13100.91,2024-07-16,2024-04-01
PRM0000212,CTR00023,13100.91,2024-10-10,2024-07-01
PRM0000213,CTR00023,13100.91,2025-01-01,2024-10-01
PRM0000214,CTR00023,14503.8,2025-04-06,2025-01-01
PRM0000215,CTR00023,14503.8,2025-07-04,2025-04-01
PRM0000216,CTR00023,14503.8,2025-10-11,2025-07-01
PRM0000217,CTR00024,15108.0,2022-04-02,2022-01-01
PRM0000218,CTR00024,15108.0,2022-07-20,2022-04-01
PRM0000219,CTR00024,15108.0,2023-01-02,2022-10-01
PRM0000220,CTR00024,17086.45,2023-04-12,2023-01-01
PRM0000221,CTR00025,12987.33,2022-04-04,2022-01-01
PRM0000222,CTR00025,12987.33,2022-07-03,2022-04-01
PRM0000223,CTR00025,12987.33,2022-10-03,2022-07-01
PRM0000224,CTR00025,12987.33,2023-01-14,2022-10-01
PRM0000225,CTR00025,13568.75,2023-04-03,2023-01-01
PRM0000226,CTR00025,13568.75,2023-07-03,2023-04-01
PRM0000227,CTR00025,13568.75,2023-10-02,2023-07-01
PRM0000228,CTR00025,13568.75,2024-01-06,2023-10-01
PRM0000229,CTR00025,28820.3,2024-04-13,2024-01-01
PRM0000230,CTR00025,14410.15,2024-10-19,2024-07-01
PRM0000231,CTR00025,14410.15,2025-01-15,2024-10-01
PRM0000232,CTR00025,14905.92,2025-04-15,2025-01-01
PRM0000233,CTR00025,14905.92,2025-07-10,2025-04-01
PRM0000234,CTR00025,14905.92,2025-10-19,2025-07-01
PRM0000235,CTR00026,15773.62,2022-04-17,2022-01-01
PRM0000236,CTR00026,15773.62,2022-07-15,2022-04-01
PRM0000237,CTR00026,15773.62,2022-10-15,2022-07-01
PRM0000238,CTR00027,7209.78,2022-04-17,2022-01-01
PRM0000239,CTR00027,7209.78,2022-07-01,2022-04-01
PRM0000240,CTR00027,7209.78,2022-10-16,2022-07-01
PRM0000241,CTR00027,7209.78,2023-01-01,2022-10-01
PRM0000242,CTR00027,7883.51,2023-04-07,2023-01-01
PRM0000243,CTR00027,7883.51,2023-07-03,2023-04-01
PRM0000244,CTR00027,7883.51,2023-10-07,2023-07-01
PRM0000245,CTR00027,7883.51,2024-01-18,2023-10-01
PRM0000246,CTR00027,8221.51,2024-04-06,2024-01-01
PRM0000247,CTR00027,8221.51,2024-07-12,2024-04-01
PRM0000248,CTR00027,8221.51,2024-10-02,2024-07-01
PRM0000249,CTR00027,8221.51,2025-01-16,2024-10-01
PRM0000250,CTR00027,9130.28,2025-04-17,2025-01-01
PRM0000251,CTR00027,18260.56,2025-07-06,2025-04-01
PRM0000252,CTR00028,7994.0,2022-04-19,2022-01-01
PRM0000253,CTR00028,7994.0,2022-07-10,2022-04-01
PRM0000254,CTR00028,7994.0,2022-10-14,2022-07-01
PRM0000255,CTR00028,15988.0,2023-01-08,2022-10-01
PRM0000256,CTR00028,9065.72,2023-07-08,2023-04-01
PRM0000257,CTR00028,9065.72,2023-10-14,2023-07-01
PRM0000258,CTR00028,9065.72,2024-01-03,2023-10-01
PRM0000259,CTR00029,8376.69,2022-04-04,2022-01-01
PRM0000260,CTR00029,8376.69,2022-07-07,2022-04-01
PRM0000261,CTR00029,8376.69,2022-10-10,2022-07-01
PRM0000262,CTR00029,8376.69,2023-01-18,2022-10-01
PRM0000263,CTR00030,11346.97,2022-07-08,2022-04-01
PRM0000264,CTR00030,11346.97,2022-10-18,2022-07-01
PRM0000265,CTR00031,4388.9,2022-04-16,2022-01-01
PRM0000266,CTR00031,4388.9,2022-07-17,2022-04-01
PRM0000267,CTR00031,4388.9,2022-10-07,2022-07-01
PRM0000268,CTR00031,4388.9,2023-01-12,2022-10-01
PRM0000269,CTR00031,4834.53,2023-04-08,2023-01-01
PRM0000270,CTR00031,4834.53,2023-07-16,2023-04-01
PRM0000271,CTR00031,4834.53,2023-10-13,2023-07-01
PRM0000272,CTR00031,4834.53,2024-01-09,2023-10-01
PRM0000273,CTR00031,5470.24,2024-04-03,2024-01-01
PRM0000274,CTR00031,5470.24,2024-07-02,2024-04-01
PRM0000275,CTR00032,2135.81,2022-10-12,2022-07-01
PRM0000276,CTR00032,2135.81,2023-01-05,2022-10-01
PRM0000277,CTR00032,2354.25,2023-04-14,2023-01-01
PRM0000278,CTR00032,2354.25,2023-07-08,2023-04-01
PRM0000279,CTR00032,2354.25,2023-10-12,2023-07-01
PRM0000280,CTR00032,2354.25,2024-01-21,2023-10-01
PRM0000281,CTR00032,2689.93,2024-04-02,2024-01-01
PRM0000282,CTR00032,2689.93,2024-07-16,2024-04-01
PRM0000283,CTR00033,31155.34,2022-07-12,2022-04-01
PRM0000284,CTR00033,15577.67,2023-01-15,2022-10-01
PRM0000285,CTR00033,15772.94,2023-04-01,2023-01-01
PRM0000286,CTR00033,31545.88,2023-07-16,2023-04-01
PRM0000287,CTR00033,15772.94,2024-01-09,2023-10-01
PRM0000288,CTR00033,16864.58,2024-04-08,2024-01-01
PRM0000289,CTR00033,16864.58,2024-07-16,2024-04-01
PRM0000290,CTR00033,16864.58,2024-10-11,2024-07-01
PRM0000291,CTR00033,16864.58,2025-01-14,2024-10-01
PRM0000292,CTR00033,17247.42,2025-04-19,2025-01-01
PRM0000293,CTR00033,17247.42,2025-07-21,2025-04-01
PRM0000294,CTR00033,17247.42,2025-10-21,2025-07-01
PRM0000295,CTR00034,2485.65,2022-04-20,2022-01-01
PRM0000296,CTR00034,2485.65,2022-07-12,2022-04-01
PRM0000297,CTR00034,2485.65,2022-10-05,2022-07-01
PRM0000298,CTR00034,2485.65,2023-01-09,2022-10-01
PRM0000299,CTR00034,2582.35,2023-04-14,2023-01-01
PRM0000300,CTR00034,2582.35,2023-07-09,2023-04-01
PRM0000301,CTR00034,2582.35,2023-10-11,2023-07-01
PRM0000302,CTR00034,2582.35,2024-01-05,2023-10-01
PRM0000303,CTR00034,2948.93,2024-04-14,2024-01-01
PRM0000304,CTR00034,2948.93,2024-07-03,2024-04-01
PRM0000305,CTR00035,32517.72,2022-04-14,2022-01-01
PRM0000306,CTR00035,16258.86,2022-10-12,2022-07-01
PRM0000307,CTR00035,16258.86,2023-01-04,2022-10-01
PRM0000308,CTR00035,16401.37,2023-04-12,2023-01-01
PRM0000309,CTR00035,16401.37,2023-10-01,2023-07-01
PRM0000310,CTR00035,32802.74,2024-01-01,2023-10-01
PRM0000311,CTR00035,17477.23,2024-07-17,2024-04-01
PRM0000312,CTR00035,17477.23,2024-10-17,2024-07-01
PRM0000313,CTR00035,17477.23,2025-01-12,2024-10-01
PRM0000314,CTR00035,19140.3,2025-04-12,2025-01-01
PRM0000315,CTR00035,38280.6,2025-10-19,2025-07-01
PRM0000316,CTR00036,3963.56,2022-04-18,2022-01-01
PRM0000317,CTR00036,3963.56,2022-07-19,2022-04-01
PRM0000318,CTR00036,3963.56,2022-10-17,2022-07-01
PRM0000319,CTR00036,3963.56,2023-01-03,2022-10-01
PRM0000320,CTR00036,4114.62,2023-04-13,2023-01-01
PRM0000321,CTR00036,4114.62,2023-07-14,2023-04-01
PRM0000322,CTR00036,4114.62,2023-10-19,2023-07-01
PRM0000323,CTR00036,4114.62,2024-01-18,2023-10-01
PRM0000324,CTR00036,4514.97,2024-04-18,2024-01-01
PRM0000325,CTR00036,4514.97,2024-07-03,2024-04-01
PRM0000326,CTR00036,4514.97,2024-10-09,2024-07-01
PRM0000327,CTR00036,4514.97,2025-01-13,2024-10-01
PRM0000328,CTR00036,4905.43,2025-04-21,2025-01-01
PRM0000329,CTR00036,4905.43,2025-07-06,2025-04-01
PRM0000330,CTR00036,4905.43,2025-10-15,2025-07-01
PRM0000331,CTR00037,14045.52,2022-04-01,2022-01-01
PRM0000332,CTR00037,14045.52,2022-07-20,2022-04-01
PRM0000333,CTR00037,14045.52,2022-10-17,2022-07-01
PRM0000334,CTR00037,14045.52,2023-01-09,2022-10-01
PRM0000335,CTR00037,31642.4,2023-04-03,2023-01-01
PRM0000336,CTR00037,15821.2,2023-10-10,2023-07-01
PRM0000337,CTR00039,4588.86,2022-04-04,2022-01-01
PRM0000338,CTR00039,4588.86,2022-07-08,2022-04-01
PRM0000339,CTR00039,4588.86,2022-10-09,2022-07-01
PRM0000340,CTR00039,4588.86,2023-01-07,2022-10-01
PRM0000341,CTR00039,5266.3,2023-04-03,2023-01-01
PRM0000342,CTR00039,5266.3,2023-07-11,2023-04-01
PRM0000343,CTR00039,5266.3,2023-10-21,2023-07-01
PRM0000344,CTR00039,5266.3,2024-01-16,2023-10-01
PRM0000345,CTR00039,5589.79,2024-04-05,2024-01-01
PRM0000346,CTR00039,5589.79,2024-07-09,2024-04-01
PRM0000347,CTR00039,5589.79,2024-10-06,2024-07-01
PRM0000348,CTR00039,5589.79,2025-01-13,2024-10-01
PRM0000349,CTR00039,6085.18,2025-04-01,2025-01-01
PRM0000350,CTR00039,6085.18,2025-07-04,2025-04-01
PRM0000351,CTR00039,6085.18,2025-10-15,2025-07-01
PRM0000352,CTR00040,14708.52,2022-04-15,2022-01-01
PRM0000353,CTR00040,29417.04,2022-07-17,2022-04-01
PRM0000354,CTR00041,6551.87,2022-04-18,2022-01-01
PRM0000355,CTR00042,14342.7,2022-04-11,2022-01-01
PRM0000356,CTR00042,14342.7,2022-07-20,2022-04-01
PRM0000357,CTR00042,14342.7,2022-10-09,2022-07-01
PRM0000358,CTR00042,14342.7,2023-01-15,2022-10-01
PRM0000359,CTR00042,15050.6,2023-04-11,2023-01-01
PRM0000360,CTR00042,15050.6,2023-07-03,2023-04-01
PRM0000361,CTR00042,15050.6,2023-10-05,2023-07-01
PRM0000362,CTR00042,15050.6,2024-01-02,2023-10-01
PRM0000363,CTR00042,15416.19,2024-04-02,2024-01-01
PRM0000364,CTR00042,15416.19,2024-07-14,2024-04-01
PRM0000365,CTR00042,15416.19,2024-10-19,2024-07-01
PRM0000366,CTR00042,15416.19,2025-01-07,2024-10-01
PRM0000367,CTR00042,15708.3,2025-04-12,2025-01-01
PRM0000368,CTR00042,15708.3,2025-07-20,2025-04-01
PRM0000369,CTR00042,15708.3,2025-10-05,2025-07-01
PRM0000370,CTR00043,2176.01,2022-04-03,2022-01-01
PRM0000371,CTR00043,2176.01,2022-07-01,2022-04-01
PRM0000372,CTR00043,2176.01,2022-10-07,2022-07-01
PRM0000373,CTR00043,2176.01,2023-01-05,2022-10-01
PRM0000374,CTR00043,4698.68,2023-04-16,2023-01-01
PRM0000375,CTR00043,2349.34,2023-10-18,2023-07-01
PRM0000376,CTR00043,2349.34,2024-01-04,2023-10-01
PRM0000377,CTR00043,2470.15,2024-04-16,2024-01-01
PRM0000378,CTR00043,2470.15,2024-07-18,2024-04-01
PRM0000379,CTR00043,2470.15,2024-10-04,2024-07-01
PRM0000380,CTR00043,2470.15,2025-01-07,2024-10-01
PRM0000381,CTR00043,5571.76,2025-04-02,2025-01-01
PRM0000382,CTR00043,2785.88,2025-10-15,2025-07-01
PRM0000383,CTR00044,4271.43,2022-04-03,2022-01-01
PRM0000384,CTR00044,8542.86,2022-07-18,2022-04-01
PRM0000385,CTR00044,4271.43,2023-01-16,2022-10-01
PRM0000386,CTR00044,4431.78,2023-07-19,2023-04-01
PRM0000387,CTR00044,4431.78,2023-10-05,2023-07-01
PRM0000388,CTR00044,4431.78,2024-01-13,2023-10-01
PRM0000389,CTR00044,4550.46,2024-04-02,2024-01-01
PRM0000390,CTR00044,4550.46,2024-07-11,2024-04-01
PRM0000391,CTR00044,9100.92,2024-10-19,2024-07-01
PRM0000392,CTR00044,5071.37,2025-04-10,2025-01-01
PRM0000393,CTR00044,5071.37,2025-07-05,2025-04-01
PRM0000394,CTR00044,5071.37,2025-10-17,2025-07-01
PRM0000395,CTR00045,4994.03,2022-04-11,2022-01-01
PRM0000396,CTR00045,4994.03,2022-07-09,2022-04-01
PRM0000397,CTR00045,4994.03,2022-10-01,2022-07-01
PRM0000398,CTR00045,9988.06,2023-01-10,2022-10-01
PRM0000399,CTR00045,5714.42,2023-07-08,2023-04-01
PRM0000400,CTR00045,5714.42,2023-10-11,2023-07-01
PRM0000401,CTR00045,5714.42,2024-01-03,2023-10-01
PRM0000402,CTR00046,4758.31,2022-04-01,2022-01-01
PRM0000403,CTR00046,4758.31,2022-07-08,2022-04-01
PRM0000404,CTR00046,9516.62,2022-10-03,2022-07-01
PRM0000405,CTR00046,4920.52,2023-04-07,2023-01-01
PRM0000406,CTR00046,4920.52,2023-07-12,2023-04-01
PRM0000407,CTR00046,4920.52,2023-10-08,2023-07-01
PRM0000408,CTR00046,4920.52,2024-01-20,2023-10-01
PRM0000409,CTR00046,5333.88,2024-04-13,2024-01-01
PRM0000410,CTR00046,5333.88,2024-07-18,2024-04-01
PRM0000411,CTR00046,5333.88,2024-10-09,2024-07-01
PRM0000412,CTR00046,5333.88,2025-01-19,2024-10-01
PRM0000413,CTR00046,10949.9,2025-04-13,2025-01-01
PRM0000414,CTR00046,5474.95,2025-10-12,2025-07-01
PRM0000415,CTR00047,20951.26,2022-04-07,2022-01-01
PRM0000416,CTR00047,10475.63,2023-01-10,2022-10-01
PRM0000417,CTR00047,23995.5,2023-04-17,2023-01-01
PRM0000418,CTR00047,11997.75,2023-10-12,2023-07-01
PRM0000419,CTR00047,23995.5,2024-01-07,2023-10-01
PRM0000420,CTR00048,16362.06,2022-04-20,2022-01-01
PRM0000421,CTR00048,16362.06,2022-07-02,2022-04-01
PRM0000422,CTR00048,16362.06,2022-10-07,2022-07-01
PRM0000423,CTR00048,16362.06,2023-01-15,2022-10-01
PRM0000424,CTR00048,17617.19,2023-04-10,2023-01-01
PRM0000425,CTR00048,17617.19,2023-07-08,2023-04-01
PRM0000426,CTR00048,17617.19,2023-10-17,2023-07-01
PRM0000427,CTR00048,35234.38,2024-01-14,2023-10-01
PRM0000428,CTR00049,5025.26,2022-04-18,2022-01-01
PRM0000429,CTR00049,5025.26,2022-07-15,2022-04-01
PRM0000430,CTR00049,5025.26,2022-10-07,2022-07-01
PRM0000431,CTR00049,5025.26,2023-01-15,2022-10-01
PRM0000432,CTR00050,4804.95,2022-04-17,2022-01-01
PRM0000433,CTR00050,4804.95,2022-07-05,2022-04-01
PRM0000434,CTR00051,3422.69,2022-04-04,2022-01-01
