CONTRACT_ID,COMPANY_ID
CTR00159,CMP00320
CTR00160,CMP00221
CTR00160,CMP00021
CTR00161,CMP00397
CTR00161,CMP00350
CTR00162,CMP00107
CTR00163,CMP00311
CTR00163,CMP00039
CTR00163,CMP00491
CTR00165,CMP00050
CTR00165,CMP00413
CTR00165,CMP00008
CTR00166,CMP00446
CTR00167,CMP00445
CTR00168,CMP00401
CTR00168,CMP00459
CTR00168,CMP00045
CTR00169,CMP00233
CTR00170,CMP00479
CTR00171,CMP00035
CTR00172,CMP00187
CTR00173,CMP00037
CTR00174,CMP00396
CTR00175,CMP00243
CTR00176,CMP00391
CTR00176,CMP00449
CTR00176,CMP00227
CTR00178,CMP00498
CTR00180,CMP00206
CTR00180,CMP00210
CTR00181,CMP00470
CTR00181,CMP00349
CTR00182,CMP00188
CTR00184,CMP00192
CTR00184,CMP00350
CTR00185,CMP00231
CTR00187,CMP00022
CTR00187,CMP00318
CTR00187,CMP00330
CTR00188,CMP00405
CTR00189,CMP00421
CTR00190,CMP00080
CTR00191,CMP00149
CTR00191,CMP00193
CTR00192,CMP00205
CTR00193,CMP00199
CTR00194,CMP00343
CTR00194,CMP00048
CTR00195,CMP00240
CTR00196,CMP00461
CTR00199,CMP00473
CTR00199,CMP00204
CTR00200,CMP00103
CTR00201,CMP00034
CTR00203,CMP00360
CTR00204,CMP00059
CTR00205,CMP00020
CTR00207,CMP00328
CTR00208,CMP00291
CTR00209,CMP00308
CTR00210,CMP00032
CTR00214,CMP00488
CTR00214,CMP00389
CTR00215,CMP00139
CTR00216,CMP00091
CTR00217,CMP00036
CTR00218,CMP00042
CTR00220,CMP00215
CTR00222,CMP00426
CTR00224,CMP00176
CTR00224,CMP00494
CTR00225,CMP00085
CTR00226,CMP00483
CTR00227,CMP00244
CTR00228,CMP00402
CTR00229,CMP00357
CTR00230,CMP00468
CTR00231,CMP00200
CTR00232,CMP00288
CTR00232,CMP00401
CTR00233,CMP00102
CTR00234,CMP00297
CTR00235,CMP00166
CTR00237,CMP00423
CTR00238,CMP00163
CTR00239,CMP00460
CTR00241,CMP00163
CTR00242,CMP00497
CTR00243,CMP00135
CTR00245,CMP00427
CTR00245,CMP00439
CTR00248,CMP00112
CTR00250,CMP00280
CTR00251,CMP00308
CTR00252,CMP00179
CTR00253,CMP00098
CTR00254,CMP00296
CTR00255,CMP00187
CTR00258,CMP00359
CTR00259,CMP00234
CTR00260,CMP00181
CTR00262,CMP00499
CTR00263,CMP00059
CTR00264,CMP00235
CTR00264,CMP00220
CTR00267,CMP00146
CTR00268,CMP00353
CTR00269,CMP00146
CTR00270,CMP00481
CTR00271,CMP00439
CTR00271,CMP00051
CTR00273,CMP00009
CTR00274,CMP00211
CTR00276,CMP00475
CTR00277,CMP00325
CTR00279,CMP00342
CTR00281,CMP00283
CTR00282,CMP00101
CTR00283,CMP00487
CTR00285,CMP00212
CTR00286,CMP00361
CTR00287,CMP00004
CTR00288,CMP00115
CTR00289,CMP00138
CTR00290,CMP00136
CTR00290,CMP00158
CTR00291,CMP00408
CTR00291,CMP00466
CTR00292,CMP00124
CTR00296,CMP00419
CTR00297,CMP00380
CTR00298,CMP00172
CTR00300,CMP00285
CTR00302,CMP00425
CTR00305,CMP00373
CTR00306,CMP00463
CTR00307,CMP00082
CTR00310,CMP00324
CTR00311,CMP00201
CTR00316,CMP00006
CTR00317,CMP00304
CTR00318,CMP00317
CTR00320,CMP00196
CTR00321,CMP00067
CTR00324,CMP00114
CTR00326,CMP00372
CTR00326,CMP00400
CTR00327,CMP00194
CTR00327,CMP00395
CTR00328,CMP00027
CTR00330,CMP00012
CTR00332,CMP00057
CTR00333,CMP00063
CTR00337,CMP00107
CTR00339,CMP00038
CTR00342,CMP00456
CTR00346,CMP00338
CTR00347,CMP00438
CTR00349,CMP00178
CTR00350,CMP00315
CTR00351,CMP00003
CTR00353,CMP00063
CTR00354,CMP00016
CTR00355,CMP00266
CTR00356,CMP00079
CTR00358,CMP00112
CTR00359,CMP00071
CTR00362,CMP00247
CTR00367,CMP00485
CTR00368,CMP00099
CTR00370,CMP00455
CTR00372,CMP00299
CTR00375,CMP00370
CTR00376,CMP00453
CTR00377,CMP00306
CTR00378,CMP00418
CTR00381,CMP00181
CTR00383,CMP00086
CTR00384,CMP00262
CTR00385,CMP00210
CTR00386,CMP00424
CTR00387,CMP00495
CTR00392,CMP00337
CTR00396,CMP00169
CTR00400,CMP00309
CTR00402,CMP00143
CTR00404,CMP00441
CTR00404,CMP00344
CTR00405,CMP00458
CTR00408,CMP00101
CTR00409,CMP00253
CTR00410,CMP00141
CTR00416,CMP00295
CTR00417,CMP00237
CTR00418,CMP00496
CTR00420,CMP00271
CTR00421,CMP00331
CTR00423,CMP00411
CTR00425,CMP00386
CTR00426,CMP00041
CTR00427,CMP00161
CTR00428,CMP00025
CTR00430,CMP00253
CTR00430,CMP00435
CTR00431,CMP00432
CTR00432,CMP00053
CTR00432,CMP00015
CTR00435,CMP00371
CTR00436,CMP00088
CTR00438,CMP00189
CTR00439,CMP00003
CTR00444,CMP00314
CTR00445,CMP00195
CTR00447,CMP00299
CTR00448,CMP00164
CTR00449,CMP00300
CTR00450,CMP00459
CTR00454,CMP00251
CTR00455,CMP00165
CTR00455,CMP00375
CTR00459,CMP00447
CTR00460,CMP00332
CTR00461,CMP00106
CTR00463,CMP00007
CTR00465,CMP00097
CTR00465,CMP00250
CTR00467,CMP00390
CTR00468,CMP00161
CTR00469,CMP00160
CTR00470,CMP00336
CTR00471,CMP00259
CTR00474,CMP00232
CTR00475,CMP00263
CTR00475,CMP00104
CTR00477,CMP00217
CTR00482,CMP00458
CTR00484,CMP00339
CTR00487,CMP00182
CTR00488,CMP00078
CTR00490,CMP00028
CTR00491,CMP00190
CTR00492,CMP00333
CTR00494,CMP00151
CTR00496,CMP00272
CTR00500,CMP00113
CTR00500,CMP00028
